Date,Open,Close,High,Low,Volume,Change
2024-3-22,60.14,59.86,60.34,59.75,4.24K,-0.46%
2024-3-21,60.42,60.61,60.99,60.30,0.04K,-0.43%
2024-3-20,60.68,61.30,62.10,60.20,9.07K,-1.61%
2024-3-19,61.67,60.70,61.84,59.73,0.22K,1.77%
2024-3-18,60.60,60.76,61.67,58.61,0.43K,-0.66%
2024-3-15,61.00,62.94,63.22,61.00,0.34K,-3.11%
2024-3-14,62.96,63.01,63.18,62.91,0.00K,-0.62%
2024-3-13,63.35,63.41,63.62,63.12,0.13K,0.13%
2024-3-12,63.27,63.00,63.46,62.75,0.10K,0.57%
2024-3-11,62.91,63.13,63.68,62.65,3.67K,-0.43%
2024-3-8,63.18,63.37,63.52,62.85,0.01K,-0.36%
2024-3-7,63.41,62.72,63.56,62.72,0.14K,1.13%
2024-3-6,62.70,62.35,62.86,62.09,0.24K,0.29%
2024-3-5,62.52,62.26,62.78,62.02,0.05K,0.99%
2024-3-4,61.91,61.61,62.66,61.59,0.74K,1.41%
2024-3-1,61.05,60.26,61.29,60.10,0.06K,1.55%
2024-2-29,60.12,60.02,60.78,60.02,0.09K,-0.22%
2024-2-28,60.25,61.20,61.20,60.00,0.05K,-1.16%
2024-2-27,60.96,61.70,61.70,60.66,0.05K,0.02%
2024-2-26,60.95,62.01,62.30,59.99,0.10K,-1.53%
2024-2-23,61.90,64.00,64.09,61.50,0.08K,-3.22%
2024-2-22,63.96,64.65,64.74,63.94,0.12K,-0.76%
2024-2-21,64.45,64.78,64.78,64.31,0.11K,-0.59%
2024-2-20,64.83,64.95,65.14,64.43,7.96K,-0.15%
2024-2-19,64.93,64.65,65.11,64.48,0.26K,0.39%
2024-2-16,64.68,64.50,64.68,64.35,0.07K,0.28%
2024-2-15,64.50,64.77,64.78,64.35,0.10K,0.00%
2024-2-14,64.50,64.48,64.68,64.28,0.28K,-0.57%
2024-2-9,64.87,65.30,65.43,64.37,0.18K,-0.31%
2024-2-8,65.07,64.90,65.43,64.10,0.49K,1.28%
2024-2-7,64.25,65.29,65.29,64.24,0.18K,-1.64%
2024-2-6,65.32,65.30,66.17,64.80,7.61K,-0.43%
2024-2-5,65.60,64.58,65.60,64.17,0.40K,2.48%
2024-2-2,64.01,63.60,64.28,63.59,0.20K,0.22%
2024-2-1,63.87,64.27,64.56,63.80,0.43K,-1.51%
2024-1-31,64.85,65.37,65.37,64.60,0.16K,0.57%
